filesize	nObjs	nVersions	pageCount	images	nStreams	linearized	encrypted	nLrgObjs	nSmlObjs	sActions	sElements	sEvents	openAction	aa	names	acroform	js	javascript	launch	submitForm	importData	encrypt	jbig2decode	embeddedFiles	flash	asciiHexDecode	ascii85Decode	lzwDecode	flateDecode	runLengthDecode	ccittfaxDecode	dctDecode	jpxDecode	crypt	class
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
																																			class
9658	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
31883	12	0	1	0	5	0	0	1	11	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
177695	41	1	1	0	12	1	0	3	38	2	2	3	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
9578	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9317	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
7875	19	0	1	0	9	0	0	2	17	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
15567	16	0	1	0	8	0	0	2	14	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4914	8	0	1	0	1	0	0	1	7	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1
8025	10	0	1	0	3	0	0	2	8	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
2005	9	0	1	0	2	0	0	1	8	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
7545	17	0	1	0	6	0	0	5	12	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
15977	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14890	9	0	0	0	2	0	0	1	8	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
4537	14	0	1	0	6	0	0	1	13	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
159311	126	4	1	1	31	1	0	11	115	2	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
16319	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
19356	16	0	1	0	8	0	0	2	14	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26062	3	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8471	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
73183	15	0	1	0	7	0	0	2	13	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
38699	17	0	1	0	1	0	0	6	11	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
37525	10	0	1	0	3	0	0	2	8	1	2	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
12631	19	0	1	0	9	0	0	2	17	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
16377	9	0	1	0	3	0	0	2	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
367126	22	0	1	1	7	0	0	6	16	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
26225	17	0	1	0	9	0	0	1	16	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4703	13	0	2	0	3	0	0	2	11	2	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9365	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
9664	8	0	1	0	2	0	0	1	7	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
22917	3	0	0	0	0	0	0	1	2	1	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
76274	9	0	0	0	2	0	0	1	8	1	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
13760	19	0	1	0	9	0	0	2	17	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
